Taxa,Area,B_glucan,Circularity,Diameter,DTH,Fe,FLA,FLH,GpS,GWS,GY,HW,Length,Length_Wid,PdH,PdL,Perimeter,PH,Protein,SL,TKW,width,Zn
G269,24.80703,4.98713,1.656602,5.630214,77.77807,41.44406,16.986847,65.75987,32.11161,1.4463467,0.8052582,64.09675,10.117228,2.760214,64.04032,-2.33887,28.61102,74.56842,16.14198,10.716363,37.18278,3.703831,30.98339
G270,24.05777,6.004848,1.547494,5.53062,76.98075,32.47308,19.383084,57.74268,26.38619,1.2940061,1.2940028,64.94252,9.463977,2.540616,60.7035,3.442958,27.08227,70.47775,14.50658,9.813622,38.4415,3.807042,31.84443
G271,24.42248,6.283694,1.652456,5.58631,77.57246,35.75232,19.247958,62.31061,29.66658,1.4205216,1.1079622,63.68315,10.02921,2.796166,65.94632,4.119012,28.3377,75.02924,15.30791,9.079433,36.75613,3.642462,34.62664
G272,23.91018,6.403139,1.672357,5.521839,75.96758,29.89718,15.016294,54.39906,28.87746,1.342288,1.0218108,59.59038,9.878776,2.75965,58.32503,2.941074,28.04324,68.50983,14.07295,10.02286,35.62668,3.680973,33.77373
G273,20.56283,6.272239,1.739028,5.080673,80.90116,30.30917,7.862214,60.68584,40.65682,1.3043138,0.910797,60.94161,9.328564,2.837303,57.56152,-3.151354,26.18732,67.00453,14.35368,9.449001,32.14711,3.393265,32.93797
G274,22.86778,7.508351,1.746053,5.3549,79.19803,31.45202,15.084547,65.81189,28.81276,1.0864305,1.4285121,63.13504,9.997908,3.017541,62.37704,-3.001995,27.93815,71.14028,14.49899,9.469039,31.94972,3.394721,36.36548
G275,26.05617,6.722508,1.703002,5.691818,76.54092,30.50685,14.106467,61.20135,25.5369,1.3066172,1.2350329,61.17235,10.376712,2.807822,63.99749,1.993801,29.34158,72.693,14.31069,8.266158,33.83195,3.791306,31.89101
G276,27.19841,5.399793,1.700367,5.701527,78.45309,34.52593,14.709551,55.8923,27.86239,1.3418889,0.8496717,62.76302,10.816393,2.744948,55.15145,-0.684212,29.30325,65.04218,15.11918,9.819863,31.21308,3.877391,30.72867
G277,25.28839,5.912856,1.665342,5.678358,76.8286,31.45445,17.471815,55.07126,26.45317,1.2379334,1.5747847,65.76566,10.226904,2.728157,58.5839,2.371783,28.94501,67.21145,14.29067,8.598242,37.48669,3.760096,30.35743
G278,24.43277,7.242553,1.642053,5.557527,76.99703,29.99237,18.446893,62.51066,28.33439,1.308482,1.3238629,64.01902,9.995494,2.742842,65.50463,3.052139,28.09097,76.38595,14.11583,10.579387,36.4297,3.687931,35.48524
G279,23.21165,6.02451,1.628304,5.424966,80.88896,31.09656,10.912176,64.53201,28.72012,1.2926469,1.0837935,62.67575,9.678128,2.698559,62.93569,-2.008688,27.26497,72.05529,14.38127,8.62888,34.69162,3.651281,32.22859
G280,26.03816,6.529417,1.639059,5.88662,89.39492,30.48165,15.335803,51.53234,26.66954,1.3634205,0.9624073,64.57065,10.318476,2.757363,55.7493,3.8908,29.76886,64.02209,14.0772,7.982867,40.67624,3.777093,34.76471
G281,22.72305,7.167451,1.785449,5.329115,77.88721,30.25709,12.522252,59.42673,38.26299,1.4029669,1.1044012,63.79149,10.017886,3.071035,60.18906,0.1231092,27.89413,67.27209,13.78263,6.962075,33.50617,3.396905,32.4402
G282,26.11562,5.91834,1.641801,5.782844,80.0174,31.39098,20.741529,62.33355,32.50331,1.6475466,1.0836021,61.50263,10.324395,2.756238,62.31617,0.4682599,29.15135,73.01284,14.44348,10.60885,36.1281,3.802798,34.04649
G283,24.45398,6.822168,1.590589,5.579549,78.58958,29.69213,18.421648,64.04475,26.77265,1.3379172,1.4663201,63.69871,9.838457,2.651932,66.77207,2.034431,27.56954,75.70407,13.84101,8.906585,33.49315,3.747806,31.68137
G284,24.18164,5.766787,2.304556,5.563717,75.68753,26.78072,9.210108,75.29797,35.49333,1.2533334,1.3656992,52.4955,12.033562,3.714152,84.48619,8.940391,33.23393,88.9437,13.42673,4.226976,32.34516,3.338791,28.35697
G285,22.98508,7.099633,2.106124,5.374877,71.0349,29.25919,15.934207,69.4194,48.32075,1.8110036,0.6322534,56.03248,11.270823,3.639779,76.6153,7.573572,30.65678,83.19529,14.12587,6.537484,32.95142,3.18265,32.29687
G286,25.61038,4.877312,2.00661,5.417022,78.18172,32.76456,11.82196,61.40353,37.37975,1.453853,0.6418694,59.00597,11.173589,3.416636,63.40833,2.042755,30.30748,71.24279,15.09273,7.337792,29.65058,3.50642,26.69198
G287,26.6317,6.652661,2.119951,5.785437,67.40893,30.40849,18.910964,63.3142,24.70392,0.9464278,0.754557,58.13212,12.127386,3.675657,68.09365,5.458488,33.41742,76.34287,14.35595,8.219725,34.3905,3.358272,29.53659
G288,26.69294,7.505437,2.171754,5.576567,76.97939,30.09054,20.7268,76.08526,49.7239,1.9089275,1.0749307,52.35302,12.097217,3.636644,82.38804,5.388096,32.45059,89.13752,14.28435,7.110817,29.11493,3.538084,30.92947
G289,20.63683,7.093855,1.788142,5.126571,77.49029,31.51121,26.622857,62.32413,63.79185,2.1194365,0.992015,57.55965,9.767634,3.08983,62.87631,0.2989531,27.02223,71.48917,14.66896,8.372978,25.7856,3.201659,37.71764
G290,26.40152,6.949339,2.249088,5.774532,77.7002,28.0875,28.730258,80.49662,46.82929,1.8054505,0.7627754,53.90361,12.492255,3.935195,81.6721,1.69352,33.88377,88.79267,13.92264,7.310683,28.81717,3.235669,32.56835
G291,23.14703,5.869637,1.614441,5.436804,78.32581,34.32007,14.019634,79.60245,26.80772,1.1365146,0.8505664,64.19285,9.58325,2.688211,82.35246,2.754297,27.08286,89.2292,14.81499,6.848602,31.65004,3.607323,33.28669
