germplasmName	CROP	CROSS/ENTRY	PLT_SOURCE	SELECTION_HISTORY	SN	Sample BC
X893ccefd0d27	Durum wheat	GRS011-0181	21260196	GRS011-0181 1T-2A-0A-1M-3SEA	2101555	GWP2101555
X893e259b06e5	Durum wheat	GRS011-0216	21140280	GRS011-0216 1T-2A-0A-2M-1M	2100950	GWP2100950
X89443f5d4420	Bread wheat	TCI19-7003	2111010	TCI19-7003-M1-M1	2100083	GWP2100083
X8958869fe8d7	Durum wheat	GRS011-465	21140559	GRS011-465 1T-1A-0A-2M-2M	2101371	GWP2101371
X89871bc1e703	Durum wheat	GRS011-0104	21140106	GRS011-0104-2M-1M	2100704	GWP2100704
X89dff20e60dd	Bread wheat	GRSW170083	21120132	GRSW170083-M0-M0-M1-M1	2100500	GWP2100500
X8a0e7a26735a	Durum wheat	GRS011-0195	21140241	GRS011-0195 1T-2A-0A-2M-3M	2100899	GWP2100899
X8a4930c66744	Bread wheat	GRS011-0276	21140407	GRS011-0276 1T-5A-0A-2M-3M	2101150	GWP2101150
X8a4c3004c32e	Durum wheat	GRS011-0229	2115007	GRS011-0229 1T-1A-0A-1M-2M	2101456	GWP2101456
X8ac904723b32	Durum wheat	GRS011-0219	21140284	GRS011-0219-1M-1M	2100957	GWP2100957
X8ad9b1d5de2b	Durum wheat	GRS011-487	21140450	GRS011-487-2M-3M	2101204	GWP2101204
X8ae75011c69f	Durum wheat	GRSW170070	21120107	GRSW170070-M0-M0-M1-M4	2100433	GWP2100433
X8ae938890f72	Bread wheat	GRS18-7001	21120029	GRS18-7001-10SB-M2-M1	2100224	GWP2100224
X8b3b2e4e9cec	Durum wheat	GRS011-462	21260564	GRS011-462 1T-1A-0A-1M-1SEA	2101827	GWP2101827
X8b4ede3d4323	Durum wheat	GRS011-0245	21260311	GRS011-0245 1T-1A-0A-2M-1SEA	2101627	GWP2101627
X8b5e941bb4bf	Durum wheat	GRS011-0276	21260407	GRS011-0276 1T-5A-0A-2M-5SEA	2101755	GWP2101755
X8bd5c46a1d2a	Durum wheat	GRS011-375	21260592	GRS011-375 1T-1A-0A-1M-1SEA	2101852	GWP2101852
X8bf1c583fa5d	Durum wheat	GRS011-0215	21140278	GRS011-0215 1T-1A-0A-2M-1M	2100949	GWP2100949
X8bf7b68f50e5	Bread wheat	GRSW170083	21120134	GRSW170083-M0-M0-M3-M7	2100518	GWP2100518
X8c1a704430a5	Durum wheat	GRS011-078	21140061	GRS011-078-1M-1M	2100671	GWP2100671
X8c1e657c9c74	Durum wheat	GRS011-429	21140483	GRS011-429 1T-2A-0A-1M-1M	2101229	GWP2101229
X8c234e770c02	Durum wheat	GRS011-0135	21260133	GRS011-0135-2M-1SEA	2101533	GWP2101533
X8c430ae3711b	Durum wheat	GRS011-0197	21140247	GRS011-0197-2M-3M	2100910	GWP2100910
X8c77dcfd51d8	Bread wheat	GRSW170040	Repl-11	GRS18-7001-2SB-M1-AN1	2100347	GWP2100347
X8c87a0d1ff7b	Bread wheat	TCI19-7003	2111010	TCI19-7003-M1-M13	2100097	GWP2100097
X8c9612357707	Durum wheat	GRSW170019	21120052	GRSW170019-M0-M0-M3-M2	2100277	GWP2100277
X8cbdc2ac1f9d	Durum wheat	GRS011-336	21140459	GRS011-336 1T-2A-0A-1M-1M	2101211	GWP2101211
X8ce367240ec9	Bread wheat	-	Repl-51	1504023-M0-1603069-M5-18070104-M0-20130018-M3-AN1	2100446	GWP2100446
X8d0240eb78db	Durum wheat	GRS011-0253	21140324	GRS011-0253 1T-1A-0A-1M-3M	2100997	GWP2100997
X8d1ada4aa14e	Durum wheat	GRS011-0193	21140237	GRS011-0193-3M-2M	2100886	GWP2100886
X8d33ed1e8540	Durum wheat	GRS011-367	21140590	GRS011-367 1T-2A-0A-1M-1M	2101438	GWP2101438
X8d47665eea2d	Bread wheat	GRS011-0276	21140400	GRS011-0276 1T-3A-0A-1M-2M	2101138	GWP2101138
X8d764cfb6343	Durum wheat	GRS011-465	21140555	GRS011-465-1M-6M	2101358	GWP2101358
X8d87d05300a2	Durum wheat	GRS011-462	21260569	GRS011-462-2M-3SEA	2101840	GWP2101840
X8d8994ab6667	Bread wheat	GRS011-0276	21140402	GRS011-0276 1T-1A-0A-1M-1M	2101145	GWP2101145
X8da149686567	Durum wheat	GRS011-0257	21260355	GRS011-0257 1T-2A-0A-1M-1SEA	2101669	GWP2101669
X8dabe6403020	Durum wheat	GRSW170019	21120052	GRSW170019-M0-M0-M3-M5	2100280	GWP2100280
X8db339e1ce4a	Durum wheat	GRS011-0273	21140398	GRS011-0273 1T-3A-0A-1M-1M	2101132	GWP2101132
X8dd1d5e36948	Durum wheat	GRS011-0179	21140193	GRS011-0179-4M-2M	2100794	GWP2100794
X8e7aa1ec3980	Durum wheat	GRS011-0277	2115015	GRS011-0277 1T-3A-0A-1M-1M	2101467	GWP2101467
X8edd747e91f4	Durum wheat	GRS011-0135	21260133	GRS011-0135-2M-2SEA	2101534	GWP2101534
X8f5812b0fc92	Durum wheat	GRS011-0253	21140337	GRS011-0253-3M-3M	2101036	GWP2101036
X8f5add069d06	Durum wheat	GRSW170080	21120128	GRSW170080-M0-M0-M3-M2	2100490	GWP2100490
X8f67102d52d9	Durum wheat	GRS011-470	21140446	GRS011-470 1T-4A-0A-1M-5M	2101199	GWP2101199
X8fc181a0df09	Bread wheat	GRSW170083	21120133	GRSW170083-M0-M0-M2-M1	2100506	GWP2100506
X8fe6823c5add	Durum wheat	GRS011-0276	21260409	GRS011-0276 1T-1A-0A-2M-2SEA	2101762	GWP2101762
X8feb61683ecb	Durum wheat	GRS011-0253	21140324	GRS011-0253 1T-1A-0A-1M-2M	2100996	GWP2100996
X8ff9b8005ee9	Durum wheat	GRS011-465	21140557	GRS011-465 1T-3A-0A-1M-2M	2101366	GWP2101366
X90477ccd8618	Bread wheat	GRS18-7001	21120014	GRS18-7001-5SB-M2-M2	2100201	GWP2100201
X90820cc9523f	Bread wheat	GRS011-0301	21140434	GRS011-0301 1T-1A-0A-1M-1M	2101186	GWP2101186
X90b8f5af6743	Durum wheat	GRS011-462	21260567	GRS011-462-2M-1SEA	2101833	GWP2101833
X90c7ac76c71b	Bread wheat	-	2113035	1504060-M0-1603041-M0-18070107-M0-20130020-M2-M1	2100592	GWP2100592
X90cd11c56aae	Durum wheat	GRS011-0218	21140283	GRS011-0218 1T-1A-0A-3M-2M	2100956	GWP2100956
X90df3ecc1c0c	Durum wheat	GRS011-0277	21260416	GRS011-0277 1T-1A-0A-2M-2SEA	2101770	GWP2101770
